Chambers,Treatment,Time,Oxygen concentration,Light,Temperature,Biomass,Water volume 
13,Posidonia,t0,10.1,Dark,20.6,,
14,Posidonia,t0,10.8,Dark,20.0,,
15,Posidonia,t0,10.1,Dark,20.0,,
16,Sponge+Posidonia,t0,9.4,Dark,19.9,,
17,Sponge+Posidonia,t0,9.3,Dark,19.8,,
18,Sponge+Posidonia,t0,9.3,Dark,19.8,,
19,Sponge,t0,9.4,Dark,20.1,,
20,Sponge,t0,9.5,Dark,20.0,,
21,Sponge,t0,9.6,Dark,20.0,,
22,Water,t0,9.4,Dark,19.9,,
23,Water,t0,9.5,Dark,20.0,,
24,Water,t0,9.4,Light,20.1,,
1,Sponge+Posidonia,t0,10.3,Light,19.8,,
2,Water,t0,9.5,Light,19.7,,
3,Water,t0,9.4,Light,19.7,,
4,Sponge,t0,9.5,Light,20.0,,
5,Sponge+Posidonia,t0,10.2,Light,19.9,,
6,Water,t0,9.3,Dark,19.5,,
7,Posidonia,t0,11.1,Light,,,
8,Sponge,t0,9.4,Light,19.8,,
9,Sponge+Posidonia,t0,9.8,Light,19.8,,
10,Posidonia,t0,11.0,Light,19.8,,
11,Posidonia,t0,10.6,Light,19.9,,
12,Sponge,t0,10.7,Light,20.0,,
12,Sponge,tf,11.1,Light,,90,500
4,Sponge,tf,10.3,Light,19.4,89,580
8,Sponge,tf,9.5,Light,19.5,88,510
1,Sponge+Posidonia,tf,12.8,Light,19.5,87,540
5,Sponge+Posidonia,tf,11.2,Light,19.6,86,550
10,Posidonia,tf,14.8,Light,19.5,91,520
9,Sponge+Posidonia,tf,9.8,Light,19.4,92,510
7,Posidonia,tf,13.4,Light,19.4,93,540
11,Posidonia,tf,12.5,Light,19.5,94,540
24,Water,tf,9.4,Light,19.1,550,550
2,Water,tf,9.5,Light,19.1,550,550
3,Water,tf,9.4,Light,19.1,550,550
13,Posidonia,tf,9.3,Dark,18.6,95,530
19,Sponge,tf,9.2,Dark,18.7,96,500
14,Posidonia,tf,9.2,Dark,18.7,97,510
21,Sponge,tf,9.3,Dark,18.7,98,500
20,Sponge,tf,9.3,Dark,11.0,99,470
17,Sponge+Posidonia,tf,7.13,Dark,18.7,100,510
16,Sponge+Posidonia,tf,7.8,Dark,18.4,101,520
18,Sponge+Posidonia,tf,8.0,Dark,18.5,102,540
6,Water,tf,9.7,Dark,18.2,550,550
23,Water,tf,9.8,Dark,18.1,550,550
22,Water,tf,9.6,Dark,18.1,550,550
