Image ID,Image name,Annotation status,Points,ChondNuc,Sand,Rock,Rubble,MAL,Turf,Poce,Pocemat
2582618,G0092507.JPG,Confirmed,50,4.000,0.000,0.000,26.000,0.000,16.000,54.000,0.000
2582617,G0102523.JPG,Confirmed,50,0.000,10.000,0.000,2.000,0.000,2.000,86.000,0.000
2582616,G0112529.JPG,Confirmed,50,0.000,0.000,0.000,14.000,0.000,6.000,78.000,2.000
2582646,GH012649_10.png,Confirmed,50,0.000,0.000,0.000,0.000,6.000,88.000,6.000,0.000
2582645,GH012649_21.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000
2582644,GH012649_31.png,Confirmed,50,18.000,0.000,0.000,10.000,2.000,40.000,20.000,10.000
2582643,GH012649_37.png,Confirmed,50,8.000,0.000,0.000,22.000,14.000,40.000,10.000,6.000
2582642,GH012649_42.png,Confirmed,50,6.000,0.000,0.000,2.000,2.000,76.000,14.000,0.000
2582641,GH012649_47.png,Confirmed,50,10.000,0.000,0.000,20.000,2.000,28.000,40.000,0.000
2582647,GH012649_4.png,Confirmed,50,2.000,0.000,0.000,0.000,4.000,80.000,14.000,0.000
2582605,GH014072_104.png,Confirmed,50,6.000,0.000,0.000,0.000,0.000,0.000,94.000,0.000
2582604,GH014072_109.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582603,GH014072_117.png,Unconfirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582602,GH014072_125.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582601,GH014072_139.png,Confirmed,50,6.000,0.000,0.000,0.000,0.000,4.000,90.000,0.000
2582600,GH014072_143.png,Confirmed,50,18.000,0.000,0.000,16.000,0.000,0.000,66.000,0.000
2582599,GH014072_148.png,Confirmed,50,14.000,0.000,0.000,2.000,0.000,10.000,74.000,0.000
2582598,GH014072_159.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582615,GH014072_15.png,Confirmed,50,6.000,6.000,0.000,16.000,0.000,0.000,72.000,0.000
2582597,GH014072_168.png,Confirmed,50,22.000,0.000,0.000,6.000,0.000,8.000,64.000,0.000
2582596,GH014072_177.png,Confirmed,50,8.000,0.000,0.000,10.000,0.000,8.000,74.000,0.000
2582595,GH014072_187.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582594,GH014072_200.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582593,GH014072_206.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582592,GH014072_217.png,Confirmed,50,2.000,0.000,0.000,0.000,0.000,2.000,96.000,0.000
2582591,GH014072_225.png,Confirmed,50,10.000,0.000,0.000,0.000,0.000,12.000,78.000,0.000
2582590,GH014072_234.png,Confirmed,50,10.000,0.000,0.000,0.000,2.000,6.000,82.000,0.000
2582589,GH014072_241.png,Confirmed,50,8.000,0.000,0.000,0.000,0.000,10.000,82.000,0.000
2582588,GH014072_247.png,Confirmed,50,2.000,2.000,0.000,0.000,0.000,64.000,28.000,4.000
2582614,GH014072_30.png,Confirmed,50,4.000,0.000,0.000,8.000,0.000,34.000,54.000,0.000
2582613,GH014072_38.png,Confirmed,50,0.000,0.000,0.000,4.000,10.000,82.000,4.000,0.000
2582612,GH014072_45.png,Confirmed,50,2.000,0.000,0.000,20.000,2.000,54.000,22.000,0.000
2582611,GH014072_54.png,Confirmed,50,6.000,0.000,0.000,6.000,0.000,22.000,66.000,0.000
2582610,GH014072_62.png,Confirmed,50,2.000,0.000,0.000,0.000,0.000,10.000,88.000,0.000
2582609,GH014072_71.png,Confirmed,50,0.000,26.000,0.000,0.000,0.000,0.000,74.000,0.000
2582608,GH014072_81.png,Confirmed,50,12.000,0.000,0.000,0.000,0.000,8.000,80.000,0.000
2582607,GH014072_89.png,Confirmed,50,6.000,0.000,0.000,0.000,0.000,0.000,94.000,0.000
2582606,GH014072_99.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582585,GH014075_139.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582584,GH014075_173.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582583,GH014075_207.png,Confirmed,50,20.000,0.000,0.000,0.000,0.000,2.000,78.000,0.000
2582582,GH014075_236.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582581,GH014075_266.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582580,GH014075_298.png,Confirmed,50,8.000,0.000,0.000,0.000,0.000,4.000,88.000,0.000
2582579,GH014075_307.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582578,GH014075_326.png,Confirmed,50,12.000,0.000,0.000,0.000,0.000,0.000,88.000,0.000
2582587,GH014075_33.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
2582577,GH014075_353.png,Confirmed,50,8.000,0.000,0.000,0.000,0.000,2.000,90.000,0.000
2582576,GH014075_365.png,Confirmed,50,12.000,0.000,0.000,0.000,0.000,2.000,86.000,0.000
2582575,GH014075_378.png,Confirmed,50,4.000,0.000,0.000,2.000,36.000,22.000,36.000,0.000
2582586,GH014075_79.png,Confirmed,50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000
