chamber,replicate,light,Chondrilla,Posidonia,NH4,PO4,NO2,NO3,SiO4,DOC,TDN,O2_f,O2_0,temp,volume,dw_leaves,dw_rhizome,dw_sponge,t0,tf,Observation,Month
environment,A,,0,0,0.9874,0.0517,0.127,0.822,2.3601,116.52,7.89,,,,,,,,,,t0,November
environment,B,,0,0,0.9681,0.0396,0.1227,0.7806,2.4784,139.08,11.34,,,,,,,,,,t0,November
environment,C,,0,0,0.9697,0.0448,0.1198,0.9399,2.7568,111.17,5.71,,,,,,,,,,t0,November
environment,D,,0,0,2.4993,0.1239,0.1599,1.4533,2.1459,108.23,6.76,,,,,,,,,,t0,November
environment,E,,0,0,1.8666,0.049,0.1521,1.1184,2.4618,111.43,6.37,,,,,,,,,,t0,November
environment,A,0,0,0,,,,,,,,,11.5,19.5,,0,0,0,,,t0,November
environment,B,0,0,0,,,,,,,,,11.3,19.4,,0,0,0,,,t0,November
environment,C,0,0,0,,,,,,,,,11.5,19.4,,0,0,0,,,t0,November
ponchos_A1,A,0,0,0,4.9893,0.0859,0.3895,1.9776,3.1133,115.72,8.15,11.17,,17.6,0.545,0,0,0,12:44,17:22,Control,November
ponchos_A1,B,0,0,0,4.1331,0.0569,0.2243,1.2546,3.4019,106.14,6.25,11.17,,17.6,0.545,0,0,0,12:44,17:22,Control,November
ponchos_A14,A,0,0,0,5.4223,0.0933,0.5171,2.9518,2.6926,111.58,6.62,11.18,,18,0.55,0,0,0,12:43,17:17,Control,November
ponchos_A14,B,0,0,0,0.946,0.0547,0.1298,1.0318,2.784,96.16,6.13,11.18,,18,0.55,0,0,0,12:43,17:17,Control,November
ponchos_A156,A,0,0,1,2.4905,0.0962,0.1116,0.5314,2.9122,148.99,13.72,6.74,,18,0.525,0.552,4.18,0,12:29,16:50,Posidonia,November
ponchos_A156,B,0,0,1,1.8782,0.0893,0.1048,0.5011,3.0167,147.34,14.14,6.74,,18,0.525,0.552,4.18,0,12:29,16:50,Posidonia,November
ponchos_A157,A,0,1,1,4.4432,0.1534,0.3037,2.9456,3.215,139.21,16.89,8.72,,18.6,0.52,0.306,1.858,0.651,12:35,16:19,Association,November
ponchos_A157,B,0,1,1,15.0593,0.2093,0.308,4.4019,3.396,137.68,16.58,8.72,,18.6,0.52,0.306,1.858,0.651,12:35,16:19,Association,November
ponchos_A158,A,0,0,0,3.8845,0.0412,0.2731,1.5737,3.1231,98.72,7.57,11.03,,18.6,0.52,0,0,0,,,rock,November
ponchos_A158,B,0,0,0,1.1482,0.0371,0.1728,1.1946,3.133,102.19,7.82,11.03,,18.6,0.52,0,0,0,,,rock,November
ponchos_A17,A,0,1,0,3.966,0.1061,0.6108,8.9296,4.5034,124.08,21.47,8.76,,17.9,0.52,0,0,1.372,12:37,16:56,Chondrilla,November
