sample,Posidonia,Chondrilla,Tissue,Condition,Month,ug_N,wt_N(0/0),ugC,wt_C(0/0),d15N-AIR(0/00),d13C-VPDB(0/00)
N-fix WC 4,0,0,Water column,Water column,May,29.18687183881,,172.887497527759,,3.92086815666516,-21.3003652176662
N-fix WC 3,0,0,Water column,Water column,May,45.8541185630271,,155.052766433136,,2.24930128619269,-22.4021409175762
NA_SG+_Old_May,1,1,Posidonia,Association,May,31,1.24,771,30.9,5.8,-14.9
NA_SG+_Old_May,1,1,Posidonia,Association,May,28,1.09,732,28.7,5.8,-13.4
NA_SG+_Old_May,1,1,Posidonia,Association,May,30,1.26,841,35,6.3,-14.5
NA_SG+_Old_May,1,1,Posidonia,Association,May,38,1.61,814,34,5.6,-16
NA_SG+_Old_May,1,1,Posidonia,Association,May,31,1.29,712,29.5,4.6,-14.3
NA_SG+_Old_May,1,1,Posidonia,Association,May,38,1.54,838,33.8,6.1,-15.3
NA_SG+_Old_May,1,1,Posidonia,Association,May,36,1.44,799,31.9,6.9,-13.1
NA_SG+_Old_May,1,1,Posidonia,Association,May,43,1.64,705,27.1,5.8,-15.1
NA_SG+_Old_May,1,1,Posidonia,Association,May,30,1.19,768,31.1,5,-13.2
NA_SG+_Old_May,1,1,Posidonia,Association,May,43,1.72,746,29.8,4.6,-16.4
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,29,1.07,576,21.3,6.1,-13.1
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,19,0.76,566,23.3,3.5,-14.5
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,49,2.06,847,35.9,4.8,-14.9
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,32,1.16,1018,36.6,2.2,-13.9
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,24,1.06,644,28.9,2.9,-14.2
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,48,1.95,935,37.9,4,-14.4
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,41,1.89,863,39.4,3.2,-13.9
